eng,cst,source
"e; /e/; mid front unrounded vowel",e,lat eː
"a; /a/; open central unrounded vowel",a,lat aː
"o; /o/; mid back rounded vowel; also J",o,lat oː
"i; /i/; close front unrounded vowel",i,lat iː
"u; /u/; close back rounded vowel",u,lat uː
"j; /j/; palatal approximant",jota,grc iɔːta
"l; /l/; alveolar lateral approximant",el,lat ɛl
"w; /w/; labial-velar approximant",weta,grc bɛːta
"n; /n/; alveolar nasal",ene,spa ene
"m; /m/; labial nasal",eme,spa eme
"h; /h/; glottal fricative",ha,lat haː
"c; /tʃ/; post-alveolar affricate",ce,fra seː
"s; /s/; alveolar fricative",es,lat ɛs
"f; /f/; labial fricative",ef,lat ɛf
"k; /k/; velar plosive; also U",ka,lat kaː
"t; /t/; alveolar plosive",te,lat teː
"p; /p/; bilabial plosive",pe,lat peː
"Shastisu; the language",castisu
"Arabic; the language",halapi,ara ˈʕarabiː
"Bengali; the language",panla,ben ˈbaŋla
"Chichewa; the language",cicewa,nya tʃitʃewa
"Chinese; the macrolanguage",cunwan,cmn tʂʊŋ˥wən˧˥
"English; the language",inkelic,eng ˈiŋglɪʃ
"Esperanto; the language",espelanto,epo espeˈranto
"French; the language",afhanse,fra fʁɑ̃sɛ
"German; the language",dojc,deu dɔʏtʃ
"Hausa; the language",halcen-hausa,hau haɽʃen hausa
"Hawaiian; the language",olelohawaji,haw ʔoːˈlɛlo həˈvɐjʔi
"Hindi; the language",hinti,hin ɦind̪iː
"Ido; the language",ito,ido ˈido
"Igbo; the language",asusu-ikpo,ibo a˦sʊ˨sʊ˨ ɪ˨ɡ͡b˨ː
"Interlingua; the language",intelinjwa,ina inteɾˈliŋɡwa
"Italian; the language",italjano,ita itaˈljaːno
"Japanese; the language",nihonko,jpn ɲihoŋɡo
"Javanese; the language",tjolo-cowo,jav tjɔrɔ dʒɔwɔ
"Korean; the language",
"Latin; the language",linkwa-latina,lat ˈlɪŋɡʷa laˈtiːna
"Lingua Franka Nova; the language",elefen,lfn elefen
"Lojban; the language",locpan,ljb ˈloʒban
"Malay; the language",pahasa-melaju,msa bahasə melaju
"Standard Mandarin Chinese; the language",hanu,cmn xan˥˩y˨˩˦
"Marathi; the language",malati,mar məˈɾaʈʰi
"Neo Patwa; the language",neo-patwa,npt neˈo paˈtwa
"Persian; the language",folsi,fas fɒːɾˈsiː
"Portuguese; the language",pohtukes,por poʁtuˈɡes
"Punjabi; the language",pancapi,pan pə̃dʒɑːbiː
"Russian; the language",luskjij-jisik,rus ˈruskʲɪj jɪˈzɨk
"Shona; the language",cicona,sna tʃiʃona
"Sotho; the language",sisutu,sot sɪ˨sʊ˦tʰʊ˨
"Southern Min Chinese; the language",holowe,nan ho˧lo˧˥we˧
"Spanish; the language",kastejano,spa kasteˈʝano
"Swahili; the language",swahili,swa swahili
"Tamil; the language",tamil,tam t̪ɐmɨɻ
"Telugu; the language",teluku,tel t̪el̪uɡu
"Thai; the language",pasa-taj,tha pʰaː˧saː˩˦ tʰaj˧
"Toki Pona; the language",tokipona,tkp ˈtoki ˈpona
"Turkish; the language",tulce,tur ˈtyɾctʃe
"Urdu; the language",ultu,urd ˈʊrd̪uː
"Vietnamese; the language",tian-fiat,vie tiə̯ŋ˧˥ viɜʔt˧˨
"Wu Chinese; the language",hu-nju,wuu ɦu˨ ɲy˦
"Xhosa; the language",isiklosa,xho isikǁʰɔː˦sa
"Yoruba; the language",ete-jolupa,yor e˨de˨ jo˧ɾu˨ba˦
"Yue Chinese; Cantonese; the language",jut,yue jyːt̚˧˥
"Zulu; the language",isisulu,zul isiˈzuːlu
"The Antarctic Ocean; the ocean",
"The Arctic Ocean; the ocean",
"The Atlantic Ocean; the ocean",
"The Carribian Sea; the ocean",
"The Indian Ocean; the ocean",
"The Mediterranean Sea; the ocean",
"The Gulf of Mexico; the ocean",
"The Pacific Ocean; the ocean",
"Africa; the continent",
"North America; the continent",
"South America; the continent",
"Antarctica; the continent",
"Eurasia; the continent",
"Oceania; the continent",
"North Africa; the subcontinent",
"Sub-Saharan Africa; the subcontinent",
"Central America; the subcontinent",
"The Arctic; the subcontinent",
"Central Asia; the subcontinent",
"Eastern Asia; the subcontinent",
"South Asia; the subcontinent",
"Europe; the subcontinent",
"Middle East; the subcontinent",
"US-Canada; the subcontinent",
"Abkhazia; the country",
"Afghanistan; the country",afhaniston,prs avɣɒnestɒn
"South Africa; the country",
"Albania; the country",ickipali,alb ʃcipəɾi
"Algeria; the country",
"Andorra; the country",antola,cat andɔra
"Angola; the country",
"Antigua and Barbuda; the country",antika-an-papjuta,eng æntiːɡə ən bɑːbjuːdə
"Argentina; the country",alhenˈtina,aɾxenˈtina
